,question,answer,context,answer_start,title
0,kpi quý trước là bao nhiêu?,95.9%,"Dữ liệu cho thấy trong q2 năm 2023, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của tổng công ty VTPOST được đánh gía là không đạt chỉ tiêu hiện đã chỉ bằng 0.88 lần so với mục tiêu kpi ban đầu đề ra là 97.2%. Đối với kpi quý trước có được là 95.9%. Giảm 3.8% so với kết quả là với 2/2022",257,oneKPI
1,tỷ lệ hài lòng của KH dịch vụ chuyển phát bằng bao nhiêu lần so với kpi đề ra,0.88 lần,"Dữ liệu cho thấy trong q2 năm 2023, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của tổng công ty VTPOST được đánh gía là không đạt chỉ tiêu hiện đã chỉ bằng 0.88 lần so với mục tiêu kpi ban đầu đề ra là 97.2%. Đối với kpi quý trước có được là 95.9%. Giảm 3.8% so với kết quả là với 2/2022",171,oneKPI
2,mục tiêu đề ra là bao nhiêu?,97.2%,"Dữ liệu cho thấy trong q2 năm 2023, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của tổng công ty VTPOST được đánh gía là không đạt chỉ tiêu hiện đã chỉ bằng 0.88 lần so với mục tiêu kpi ban đầu đề ra là 97.2%. Đối với kpi quý trước có được là 95.9%. Giảm 3.8% so với kết quả là với 2/2022",217,oneKPI
3,Giảm bao nhiêu phần trăm so với 2/2022,3.8%,"Dữ liệu cho thấy trong q2 năm 2023, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của tổng công ty VTPOST được đánh gía là không đạt chỉ tiêu hiện đã chỉ bằng 0.88 lần so với mục tiêu kpi ban đầu đề ra là 97.2%. Đối với kpi quý trước có được là 95.9%. Giảm 3.8% so với kết quả là với 2/2022",269,oneKPI
4,dịch vụ chuyển phát của đơn vị nào?,tổng công ty VTPOST,"Dữ liệu cho thấy trong q2 năm 2023, chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của tổng công ty VTPOST được đánh gía là không đạt chỉ tiêu hiện đã chỉ bằng 0.88 lần so với mục tiêu kpi ban đầu đề ra là 97.2%. Đối với kpi quý trước có được là 95.9%. Giảm 3.8% so với kết quả là với 2/2022",98,oneKPI
5,"Tỷ lệ hài lòng của KH dịch vụ chuyển phát tháng 6, 2023 là bao nhiêu?",96.6%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",167,oneKPI
6,So với mục tiêu thì thế nào?,giảm 0.1%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",174,oneKPI
7,Mục tiêu KPI là bao nhiêu?,96.7%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",207,oneKPI
8,So với cùng kỳ tháng 6 năm 2022 thì thế nào?,Gấp 1.16 lần,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",251,oneKPI
9,So với tháng trước tăng hay giảm?,Tăng 8.4%,"Điểm dữ liệu này cho ta quan sát chỉ tiêu Tỷ lệ hài lòng của KH dịch vụ chuyển phát của VTPOST trong tháng 6 năm 2023 đã không đạt với hiện trạng có kết quả là 96.6%, giảm 0.1% so với mục tiêu kpi là 96.7%. Tăng 8.4% so với kpi là tháng trước. Gấp 1.16 lần so với kpi là với 6/2022",214,oneKPI
